pid,name,party,district,status,rank,wiki,tw,hp
P002,青木 ひとみ,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/青木ひとみ,,https://sanseito.jp/
P010,浅田 眞澄美,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/浅田眞澄美,,https://www.google.com/search?q=%E6%B5%85%E7%94%B0%20%E7%9C%9E%E6%BE%84%E7%BE%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P016,阿部 圭史,日本維新の会,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/阿部圭史,,https://www.google.com/search?q=%E9%98%BF%E9%83%A8%20%E5%9C%AD%E5%8F%B2%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P030,石川 勝,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/石川勝,,https://www.google.com/search?q=%E7%9F%B3%E5%B7%9D%20%E5%8B%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P031,石坂 太,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/石坂太,,https://www.google.com/search?q=%E7%9F%B3%E5%9D%82%20%E5%A4%AA%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P034,石橋 林太郎,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/石橋林太郎,https://x.com/R_Ishibashi0306,https://ishibashi-rintaro.com/
P036,石原 正敬,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/石原正敬,https://x.com/masa_ishihara,https://ishihara-masataka.com/
P038,一谷 勇一郎,日本維新の会,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/一谷勇一郎,https://x.com/ichitani_yuichi,
P041,井戸 まさえ,国民民主党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/井戸まさえ,https://x.com/idomasae,https://idomasae.com/
P042,伊藤 恵介,参政党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/伊藤恵介,,https://www.google.com/search?q=%E4%BC%8A%E8%97%A4%20%E6%81%B5%E4%BB%8B%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P043,伊藤 聡,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/伊藤聡,,https://www.google.com/search?q=%E4%BC%8A%E8%97%A4%20%E8%81%A1%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P050,稲葉 大輔,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/稲葉大輔,,https://www.google.com/search?q=%E7%A8%B2%E8%91%89%20%E5%A4%A7%E8%BC%94%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P051,犬飼 明佳,中道改革連合,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/犬飼明佳,https://x.com/inukai_akiyoshi,https://inukai-akiyoshi.com/
P058,井原 隆,自民党,参議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/井原隆,,https://www.google.com/search?q=%E4%BA%95%E5%8E%9F%20%E9%9A%86%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P060,今岡 植,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/今岡植,,https://www.google.com/search?q=%E4%BB%8A%E5%B2%A1%20%E6%A4%8D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P061,岩崎 比菜,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/岩崎比菜,,https://www.google.com/search?q=%E5%B2%A9%E5%B4%8E%20%E6%AF%94%E8%8F%9C%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
P066,上田 英俊,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/上田英俊,https://x.com/uetahidetoshi,https://ueta-hidetoshi.com/
P069,上原 正裕,自民党,衆議院議員,情報不足,情報不足,https://ja.wikipedia.org/wiki/上原正裕,,https://www.google.com/search?q=%E4%B8%8A%E5%8E%9F%20%E6%AD%A3%E8%A3%95%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%20%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8
